Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1990-91,21,DEN,NBA,PG,67,1505,12.2,.448,.099,.097,1.9,6.0,3.8,19.2,1.5,0.1,9.5,27.2,,-0.7,-0.3,-1.0,-0.031,,-2.0,-3.0,-5.0,-1.1
1991-92,22,DEN,NBA,PG,81,1538,12.6,.469,.111,.128,1.5,6.8,4.0,21.0,1.4,0.2,11.6,26.7,,-0.2,0.8,0.6,.018,,-1.2,-1.9,-3.1,-0.4
1992-93,23,DEN,NBA,PG,81,2710,15.6,.515,.140,.165,2.0,6.8,4.4,20.8,1.5,0.2,11.0,25.5,,3.0,2.2,5.1,.091,,0.9,-1.1,-0.1,1.3
1993-94,24,DEN,NBA,PG,80,2617,16.7,.521,.104,.179,1.2,5.8,3.6,24.1,1.6,0.2,9.9,24.9,,4.4,2.4,6.8,.125,,1.5,-0.7,0.8,1.9
1994-95,25,DEN,NBA,PG,73,2082,17.8,.543,.214,.155,1.9,5.9,3.9,23.0,1.9,0.3,10.0,25.8,,3.8,1.3,5.0,.115,,2.3,-1.1,1.2,1.7
1995-96,26,DEN,NBA,PG,57,2029,18.6,.535,.324,.164,1.5,6.4,3.9,34.7,1.6,0.1,10.1,25.1,,4.4,1.1,5.5,.131,,3.5,-1.6,1.9,1.9
1996-97,27,SAC,NBA,PG,75,2131,13.2,.524,.266,.147,0.9,5.9,3.3,15.8,1.4,0.2,10.8,23.2,,2.0,0.7,2.7,.060,,-0.8,-1.8,-2.6,-0.4
1997-98,28,SAC,NBA,PG,31,530,10.5,.405,.114,.059,1.2,6.7,3.9,19.7,1.6,0.1,6.4,25.1,,-0.5,0.2,-0.3,-0.025,,-3.2,-1.5,-4.7,-0.4
2000-01,31,VAN,NBA,PG,41,486,16.7,.514,.057,.118,1.2,4.7,2.9,32.7,1.0,0.1,9.1,26.8,,0.7,0.0,0.7,.070,,1.1,-2.1,-1.0,0.1
1997-98,23,SAC,NBA,SG,59,959,10.1,.456,.053,.350,5.0,8.6,6.7,8.9,1.9,0.9,13.6,22.1,,-0.8,0.6,-0.2,-0.008,,-3.6,-1.2,-4.8,-0.7
1998-99,24,SAC,NBA,SG,49,1205,11.8,.486,.052,.334,6.3,9.9,8.1,6.5,2.1,0.8,13.0,19.0,,0.5,0.9,1.4,.058,,-2.5,-0.5,-3.0,-0.3
1999-00,25,TOT,NBA,SG,61,1578,13.6,.477,.036,.299,7.0,13.1,10.0,10.0,1.8,1.2,12.7,22.5,,0.4,1.8,2.2,.068,,-1.2,-0.1,-1.2,0.3
1999-00,25,ORL,NBA,SG,46,1205,14.4,.484,.041,.293,7.0,14.6,10.8,9.7,2.2,0.9,13.0,23.3,,0.4,1.6,2.0,.082,,-1.0,0.2,-0.8,0.4
1999-00,25,DEN,NBA,SG,15,373,10.8,.448,.015,.321,6.9,8.2,7.6,11.0,0.8,2.2,11.3,19.7,,0.0,0.2,0.2,.023,,-1.7,-0.9,-2.5,0.0
2000-01,26,DEN,NBA,SG,29,420,5.8,.438,.090,.324,3.6,11.8,7.6,8.1,1.7,2.1,21.1,17.1,,-0.7,0.3,-0.4,-0.049,,-5.6,-0.3,-5.8,-0.4
2001-02,27,TOT,NBA,SG,24,441,9.8,.418,.014,.224,10.1,11.6,10.8,8.8,2.4,1.7,14.3,19.1,,-0.3,0.3,0.0,-0.003,,-3.4,-0.3,-3.7,-0.2
2001-02,27,DEN,NBA,SG,20,417,10.3,.424,.014,.221,10.2,11.2,10.7,8.7,2.3,1.6,13.1,19.7,,-0.2,0.3,0.0,.005,,-3.1,-0.5,-3.6,-0.2
2001-02,27,DAL,NBA,SG,4,24,0.3,.000,.000,.500,9.4,18.2,13.9,10.4,4.3,3.0,55.1,10.2,,-0.1,0.0,-0.1,-0.128,,-9.0,2.7,-6.3,0.0
2002-03,28,DAL,NBA,SG,14,204,12.4,.470,.017,.103,7.6,14.0,10.8,15.4,1.5,1.1,10.3,15.0,,0.2,0.2,0.4,.104,,-1.6,0.2,-1.4,0.0
1996-97,20,VAN,NBA,PF,80,2802,17.4,.518,.022,.428,8.8,14.2,11.5,12.1,1.5,2.2,13.5,27.6,,1.7,1.2,2.9,.049,,0.3,-2.1,-1.8,0.2
1997-98,21,VAN,NBA,SF,82,2950,21.1,.562,.038,.475,8.9,13.8,11.3,13.5,1.6,1.8,13.6,28.4,,6.3,0.6,6.9,.113,,3.4,-1.8,1.6,2.6
1998-99,22,VAN,NBA,SF,50,2021,20.7,.530,.040,.492,6.5,15.4,10.9,17.6,1.8,2.0,14.6,28.9,,3.7,0.9,4.6,.108,,2.9,-0.9,2.0,2.1
1999-00,23,VAN,NBA,SF,82,3223,20.2,.547,.075,.431,8.0,22.7,15.3,15.5,1.5,1.9,14.1,25.0,,6.2,2.6,8.8,.132,,2.6,-0.4,2.2,3.4
2000-01,24,VAN,NBA,SF,81,3241,19.1,.549,.050,.415,6.2,19.6,13.0,14.3,1.5,1.6,13.2,24.6,,5.6,2.9,8.5,.126,,1.7,0.1,1.8,3.1
2001-02,25,ATL,NBA,PF,77,2980,19.8,.536,.054,.403,7.6,19.2,13.3,15.1,1.7,2.0,14.1,27.0,,4.1,3.1,7.2,.116,,1.9,-0.2,1.7,2.8
2002-03,26,ATL,NBA,PF,81,3087,19.9,.566,.051,.457,6.7,17.8,12.5,14.7,1.5,0.9,13.0,24.2,,7.4,2.3,9.7,.151,,2.3,-0.7,1.6,2.8
2003-04,27,TOT,NBA,PF,85,2684,19.9,.557,.032,.407,8.2,19.0,13.6,12.3,1.4,1.0,12.9,24.4,,6.1,2.0,8.1,.145,,2.3,-0.7,1.6,2.4
2003-04,27,ATL,NBA,PF,53,1956,21.2,.568,.029,.423,8.2,20.3,14.3,12.6,1.2,0.7,12.3,24.8,,5.3,1.3,6.6,.163,,3.3,-1.0,2.3,2.1
2003-04,27,POR,NBA,PF,32,728,16.5,.522,.042,.360,7.9,15.5,11.8,11.5,1.8,1.8,14.8,23.3,,0.9,0.6,1.5,.098,,-0.4,0.0,-0.4,0.3
2004-05,28,POR,NBA,PF,54,1867,18.7,.581,.058,.379,7.9,16.0,12.1,10.7,1.4,1.0,13.0,22.1,,3.9,1.5,5.4,.139,,1.6,-0.6,0.9,1.4
2005-06,29,SAC,NBA,PF,72,1961,17.2,.588,.035,.440,6.4,14.8,10.6,13.2,1.3,1.6,12.5,20.1,,4.0,2.2,6.2,.152,,0.5,0.4,0.9,1.4
2006-07,30,SAC,NBA,C,80,2015,13.1,.524,.031,.358,7.0,16.4,11.6,9.2,1.3,1.5,13.3,19.5,,1.1,1.7,2.8,.067,,-2.0,-0.5,-2.5,-0.2
2007-08,31,SAC,NBA,PF,6,51,5.5,.317,.000,.286,14.2,9.1,11.6,11.1,1.0,0.0,6.0,14.7,,0.0,0.0,0.0,-0.005,,-4.4,-2.5,-6.9,-0.1
2016-17,23,OKC,NBA,SG,68,1055,10.1,.560,.724,.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,,1.2,0.9,2.1,.096,,-1.3,-0.4,-1.6,0.1
2017-18,24,OKC,NBA,SG,75,1134,9.0,.567,.759,.158,2.5,8.9,5.6,3.4,1.7,0.6,7.4,12.7,,1.3,1.0,2.2,.094,,-1.9,0.4,-1.5,0.1
2018-19,25,OKC,NBA,SG,31,588,6.3,.507,.809,.083,0.9,7.8,4.2,4.3,1.3,0.9,7.9,12.2,,0.1,0.6,0.6,.053,,-3.7,0.4,-3.3,-0.2
2020-21,21,MIA,NBA,PF,61,737,14.2,.550,.004,.482,11.5,20.6,16.1,6.1,1.3,4.0,13.5,19.5,,0.3,1.0,1.3,.085,,-3.6,-0.5,-4.1,-0.4
2021-22,22,TOR,NBA,C,73,1725,12.7,.503,.259,.217,8.7,21.7,14.9,6.9,1.1,2.3,11.3,18.5,,0.4,2.1,2.5,.070,,-2.0,-0.6,-2.6,-0.2
2022-23,23,TOR,NBA,C,12,245,13.9,.493,.304,.359,10.3,29.2,19.2,9.3,0.4,2.8,12.3,20.8,,0.1,0.3,0.3,.066,,-1.9,-1.9,-3.8,-0.1
2005-06,23,DET,NBA,SG,5,35,-2.4,.281,.313,.000,3.4,13.7,8.5,17.9,1.6,0.0,20.0,27.2,,-0.2,0.0,-0.2,-0.230,,-11.0,-4.2,-15.3,-0.1
2008-09,26,TOT,NBA,SG,25,199,10.4,.448,.263,.132,4.5,9.6,7.0,10.2,1.3,1.5,8.0,20.1,,-0.1,0.1,0.0,-0.011,,-1.8,-1.7,-3.6,-0.1
2008-09,26,DET,NBA,SG,7,20,16.0,.379,.364,.182,0.0,12.0,5.9,9.1,5.5,3.9,0.0,28.3,,0.0,0.0,0.0,.009,,-0.9,4.7,3.8,0.0
2008-09,26,LAC,NBA,SG,18,179,9.8,.460,.246,.123,5.0,9.3,7.1,10.3,0.9,1.2,9.3,19.2,,-0.1,0.0,0.0,-0.013,,-1.9,-2.5,-4.4,-0.1
